epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1054.97,1.62575,1.95069,0.01576,0.57269,0.49118,0.51821,0.23991,1.25719,1.35257,0.01835,0.000555588,0.000555588,0.000555588
2,2019.12,1.65167,1.9529,0.01628,0.56845,0.52472,0.54228,0.25483,1.25531,1.32769,0.01791,0.00108375,0.00108375,0.00108375
3,2985.58,1.66353,1.94169,0.01659,0.5763,0.49355,0.52903,0.24892,1.23576,1.30622,0.01748,0.00158441,0.00158441,0.00158441
4,3944.61,1.66015,1.93744,0.01646,0.58071,0.52776,0.54517,0.26687,1.22353,1.2447,0.0169,0.00154323,0.00154323,0.00154323
5,4908.4,1.63656,1.85983,0.01597,0.56467,0.51043,0.53532,0.26239,1.21621,1.23849,0.01742,0.00150197,0.00150197,0.00150197
6,5865.7,1.62554,1.83924,0.01567,0.60658,0.52206,0.5677,0.28182,1.19646,1.14909,0.01653,0.00146071,0.00146071,0.00146071
7,6831.41,1.61227,1.75686,0.01577,0.61089,0.53761,0.58406,0.29625,1.19191,1.15671,0.01644,0.00141945,0.00141945,0.00141945
8,7804.01,1.60892,1.74522,0.01525,0.61537,0.52624,0.58107,0.29726,1.19184,1.13148,0.01621,0.00137819,0.00137819,0.00137819
9,8778.81,1.58796,1.70983,0.0149,0.60752,0.57128,0.59235,0.30381,1.17056,1.11176,0.0157,0.00133693,0.00133693,0.00133693
10,9742.26,1.56596,1.67831,0.01489,0.64751,0.5564,0.61174,0.3219,1.14467,1.05839,0.01534,0.00129568,0.00129568,0.00129568
11,10712.4,1.56704,1.65223,0.01446,0.64492,0.54172,0.61042,0.32236,1.14119,1.07895,0.015,0.00125442,0.00125442,0.00125442
12,11681.2,1.55246,1.63338,0.01463,0.64594,0.56972,0.62149,0.33287,1.13469,1.03799,0.01492,0.00121316,0.00121316,0.00121316
13,12637.6,1.55242,1.5981,0.01434,0.65095,0.57227,0.63173,0.33897,1.13733,1.02556,0.01505,0.0011719,0.0011719,0.0011719
14,13605,1.54836,1.59718,0.01444,0.66041,0.57852,0.63825,0.34058,1.13065,0.9958,0.0152,0.00113064,0.00113064,0.00113064
15,14573.1,1.5282,1.578,0.0142,0.66352,0.58332,0.64789,0.35222,1.10832,0.98824,0.01457,0.00108938,0.00108938,0.00108938
16,15544.2,1.51086,1.54669,0.01381,0.6538,0.56866,0.63209,0.34996,1.11246,1.01924,0.01453,0.00104813,0.00104813,0.00104813
17,16497.8,1.50354,1.5092,0.01377,0.6621,0.60087,0.64447,0.35303,1.10796,0.98293,0.01448,0.00100687,0.00100687,0.00100687
18,17455.3,1.51038,1.50911,0.01401,0.66587,0.59341,0.64854,0.35167,1.1086,0.98209,0.0145,0.00096561,0.00096561,0.00096561
19,18406.8,1.48443,1.4929,0.01364,0.6992,0.59033,0.66742,0.36322,1.10014,0.95471,0.01438,0.000924352,0.000924352,0.000924352
20,19360.7,1.50554,1.48611,0.0137,0.67864,0.60411,0.66154,0.37016,1.0886,0.96197,0.0142,0.000883093,0.000883093,0.000883093
21,20310.9,1.47482,1.45617,0.01322,0.6776,0.61535,0.6739,0.37596,1.09617,0.92096,0.01399,0.000841835,0.000841835,0.000841835
22,21270,1.48447,1.45706,0.01336,0.6825,0.61617,0.67903,0.37771,1.09628,0.92833,0.01401,0.000800577,0.000800577,0.000800577
23,22222.8,1.45957,1.43437,0.01315,0.6956,0.60013,0.67568,0.3773,1.07854,0.93135,0.0137,0.000759318,0.000759318,0.000759318
24,23182.2,1.45795,1.40704,0.01319,0.70145,0.60745,0.68093,0.37828,1.09714,0.91057,0.01407,0.00071806,0.00071806,0.00071806
25,24130.9,1.45689,1.39029,0.0129,0.69161,0.61864,0.68466,0.38508,1.08039,0.89812,0.01374,0.000676802,0.000676802,0.000676802
26,25084,1.44994,1.4076,0.01311,0.70057,0.618,0.68496,0.38498,1.07653,0.90121,0.01377,0.000635544,0.000635544,0.000635544
27,26032.6,1.43219,1.37894,0.01292,0.68519,0.62053,0.68642,0.38373,1.08112,0.88421,0.01375,0.000594286,0.000594286,0.000594286
28,26985.3,1.43559,1.34288,0.01272,0.69258,0.62534,0.69101,0.39273,1.07706,0.87876,0.01355,0.000553027,0.000553027,0.000553027
29,27932.8,1.42648,1.33783,0.01262,0.69241,0.63005,0.6916,0.39305,1.07443,0.87716,0.01357,0.000511769,0.000511769,0.000511769
30,28884.5,1.42767,1.32696,0.01266,0.71695,0.61315,0.69599,0.39318,1.06475,0.88354,0.01339,0.000470511,0.000470511,0.000470511
